File Name, Peak Frequency (Hz), Frequency Error, Thermal Diffusivity (m2/s), Thermal Error, Tau\n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-5.581e-875degspot01-POS-1.txt,5.54E+08,3.25E+03,3.31E-05,8.35E-07,2.00E-08,1.97E-08,2.47E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-5.581e-875degspot02-POS-1.txt,5.53E+08,3.37E+03,3.43E-05,8.48E-07,1.93E-08,1.98E-08,2.36E-08,,,Thermal Diff/m2s-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Without bonus runs:,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-5.581e-875degspot03-POS-1.txt,5.53E+08,3.04E+03,3.73E-05,8.60E-07,1.97E-08,1.98E-08,2.41E-08,,,1,err,2,err,3,err,4,err,5,err,6,err,7,err,8,err,9,err,10,err,11,err,12,err,13,err,14,err,15,err,16,err,17,err,18,err,19,err,20,err,21,err,22,err,23,err,24,err,25,err,Ave,stat err,experr,quaderr,%err,Ave,stat err,experr,quaderr,%err
Analysis/Cr-single-crystal-2019-08-06-06.40um-5.581e-875degspot04-POS-1.txt,5.54E+08,3.65E+03,3.51E-05,9.26E-07,1.93E-08,1.97E-08,2.40E-08,,0,3.67E-05,9.34E-07,3.79E-05,5.09E-07,4.05E-05,4.79E-07,3.69E-05,9.33E-07,4.05E-05,9.52E-07,3.61E-05,6.47E-07,4.01E-05,1.04E-06,3.94E-05,1.02E-06,3.67E-05,1.05E-06,2.73E-05,5.08E-07,2.65E-05,5.47E-07,3.28E-05,5.26E-07,3.27E-05,5.11E-07,2.84E-05,9.94E-07,2.40E-05,1.08E-06,3.32E-05,5.15E-07,2.74E-05,9.70E-07,2.21E-05,1.01E-06,2.32E-05,1.01E-06,3.14E-05,6.18E-07,2.93E-05,6.42E-07,3.04E-05,1.11E-06,4.12E-05,5.33E-07,4.09E-05,9.80E-07,4.19E-05,1.02E-06,3.35E-05,6.09891E-06,1.67559E-07,6.10121E-06,1.82E-01,3.85E-05,1.68285E-06,3.54E-07,1.71974E-06,4.47E-02
Analysis/Cr-single-crystal-2019-08-06-06.40um-5.581e-875degspot05-POS-1.txt,5.53E+08,4.29E+03,3.97E-05,1.00E-06,1.82E-08,1.98E-08,2.27E-08,,0.000041251,4.48E-05,4.42E-07,4.42E-05,4.37E-07,4.19E-05,4.54E-07,3.96E-05,8.59E-07,3.79E-05,8.98E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17E-05,2.6377E-06,2.92E-07,2.65384E-06,6.36E-02,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-5.581e-8C15degspot01-POS-1.txt,5.52E+08,3.18E+03,3.72E-05,9.57E-07,2.08E-08,1.98E-08,2.63E-08,,0.00032199,4.48E-05,4.42E-07,4.42E-05,4.37E-07,4.19E-05,4.54E-07,3.96E-05,8.59E-07,3.79E-05,8.98E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17E-05,2.6377E-06,2.92E-07,2.65384E-06,6.36E-02,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-5.581e-8C15degspot02-POS-1.txt,5.51E+08,3.04E+03,3.91E-05,8.45E-07,2.02E-08,1.98E-08,2.49E-08,,0.0032,4.23E-05,8.01E-07,4.17E-05,7.23E-07,4.44E-05,7.38E-07,4.85E-05,4.58E-07,,,4.54E-05,6.19E-07,4.63E-05,1.21E-06,4.34E-05,1.52E-06,3.97E-05,1.48E-06,4.35E-05,1.19E-06,4.44E-05,1.13E-06,4.56E-05,1.33E-06,5.08E-05,6.92E-07,4.50E-05,1.61E-06,4.47E-05,8.39E-07,4.21E-05,1.29E-06,4.12E-05,1.21E-06,3.40E-05,1.18E-06,4.07E-05,1.22E-06,4.44E-05,1.25E-06,4.61E-05,1.41E-06,4.62E-05,1.27E-06,3.95E-05,1.26E-06,3.90E-05,6.72E-07,3.91E-05,1.16E-06,4.32E-05,3.49587E-06,2.32009E-07,3.50356E-06,8.10E-02,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-5.581e-8C15degspot03-POS-1.txt,5.51E+08,3.42E+03,3.82E-05,9.06E-07,1.98E-08,1.99E-08,2.46E-08,,?,2.94E-05,1.02E-06,3.15E-05,1.12E-06,2.94E-05,1.05E-06,2.93E-05,1.17E-06,2.90E-05,1.04E-06,2.77E-05,1.01E-06,2.81E-05,9.64E-07,2.75E-05,1.14E-06,3.37E-05,1.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95E-05,1.85444E-06,3.61E-07,1.88917E-06,6.40E-02,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-5.581e-8C15degspot04-POS-1.txt,5.51E+08,3.46E+03,3.92E-05,8.77E-07,2.02E-08,1.98E-08,2.53E-08,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-5.581e-8C15degspot05-POS-1.txt,5.51E+08,3.27E+03,3.83E-05,8.41E-07,1.99E-08,1.99E-08,2.47E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-5.581e-8C40degspot01-POS-1.txt,5.48E+08,3.67E+03,4.48E-05,4.42E-07,1.89E-08,2.00E-08,2.30E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-5.581e-8C40degspot02-POS-1.txt,5.47E+08,3.96E+03,4.42E-05,4.37E-07,1.87E-08,2.00E-08,2.30E-08,,,,,,Dose,TD/cm2s-1,err,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-5.581e-8C40degspot03-POS-1.txt,5.48E+08,3.46E+03,4.19E-05,4.54E-07,1.99E-08,2.00E-08,2.46E-08,,,,0.0000385,1.71974E-06,0.000001,3.85E-01,0.017197403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-5.581e-8C40degspot04-POS-1.txt,5.49E+08,3.57E+03,3.96E-05,8.59E-07,1.96E-08,1.99E-08,2.44E-08,,,,4.16944E-05,2.65384E-06,4.13E-05,4.17E-01,0.026538437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-5.581e-8C40degspot05-POS-1.txt,5.49E+08,3.51E+03,3.79E-05,8.98E-07,1.99E-08,1.99E-08,2.49E-08,,,,4.16944E-05,2.65384E-06,3.22E-04,4.17E-01,0.026538437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C15degspot01-POS-1.txt,5.50E+08,3.38E+03,3.73E-05,7.87E-07,1.98E-08,1.99E-08,2.44E-08,,,,4.32455E-05,3.50356E-06,3.20E-03,4.32E-01,0.035035647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C15degspot02-POS-1.txt,5.49E+08,3.34E+03,4.26E-05,7.77E-07,1.98E-08,1.99E-08,2.37E-08,,,,2.95119E-05,1.88917E-06,3.17E-02,2.95E-01,0.018891688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C15degspot03-POS-1.txt,5.50E+08,3.16E+03,3.98E-05,7.55E-07,2.03E-08,1.99E-08,2.50E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C15degspot04-POS-1.txt,5.49E+08,3.87E+03,3.81E-05,8.56E-07,1.84E-08,1.99E-08,2.25E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C15degspot05-POS-1.txt,5.50E+08,3.70E+03,3.52E-05,8.46E-07,1.86E-08,1.99E-08,2.26E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C40degspot01-POS-1.txt,5.48E+08,3.80E+03,3.38E-05,9.02E-07,1.91E-08,2.00E-08,2.34E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C40degspot02-POS-1.txt,5.48E+08,3.60E+03,3.36E-05,8.82E-07,1.93E-08,2.00E-08,2.38E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C40degspot03-POS-1.txt,5.48E+08,3.59E+03,3.11E-05,9.11E-07,1.98E-08,2.00E-08,2.45E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C40degspot04-POS-1.txt,5.48E+08,3.56E+03,3.37E-05,8.81E-07,1.93E-08,2.00E-08,2.38E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C40degspot05-POS-1.txt,5.49E+08,3.18E+03,3.29E-05,8.61E-07,2.04E-08,1.99E-08,2.55E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C75degspot02-POS-1.txt,5.52E+08,3.25E+03,3.19E-05,9.04E-07,2.00E-08,1.98E-08,2.48E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C75degspot03-POS-1.txt,5.53E+08,3.15E+03,3.26E-05,8.58E-07,2.02E-08,1.98E-08,2.50E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C75degspot04-POS-1.txt,5.53E+08,3.25E+03,3.32E-05,4.55E-07,1.90E-08,1.98E-08,2.32E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C75degspot05-POS-1.txt,5.53E+08,3.60E+03,3.47E-05,8.51E-07,1.93E-08,1.98E-08,2.37E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-9.00828e-7.14e-9C75degspot01-POS-1.txt,5.53E+08,3.19E+03,3.36E-05,8.79E-07,2.01E-08,1.98E-08,2.48E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-07-06.40um-5.4809e-7C40degspot01-POS-1.txt,5.48E+08,3.50E+03,4.23E-05,8.01E-07,1.97E-08,2.00E-08,2.45E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-07-06.40um-5.4809e-7C40degspot02-POS-1.txt,5.48E+08,3.28E+03,4.17E-05,7.23E-07,1.93E-08,2.00E-08,2.36E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-07-06.40um-5.4809e-7C40degspot03-POS-1.txt,5.47E+08,3.57E+03,4.44E-05,7.38E-07,1.95E-08,2.00E-08,2.36E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-07-06.40um-5.4809e-7C40degspot05-POS-1.txt,5.46E+08,3.94E+03,4.85E-05,4.58E-07,1.83E-08,2.00E-08,2.21E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-07-06.40um-5.4809e-7C75degspot01-POS-1.txt,5.53E+08,3.26E+03,3.20E-05,8.09E-07,2.04E-08,1.98E-08,2.53E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-07-06.40um-5.4809e-7C75degspot02-POS-1.txt,5.53E+08,3.31E+03,3.24E-05,7.76E-07,1.99E-08,1.98E-08,2.45E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-07-06.40um-5.4809e-7C75degspot03-POS-1.txt,5.53E+08,3.01E+03,3.38E-05,4.63E-07,2.06E-08,1.98E-08,2.50E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
